OBJECTID,EASTING,NORTHING
810,548880,185127
811,549114,184777
812,549114,184777
813,549114,184777
814,549114,184777
815,549327,185190
816,549113,184802
817,549114,184777
818,548838,184976
819,548525,184709
820,548437,185111
821,548256,184899
822,548790,185209
823,548437,185111
824,548256,184899
825,548437,185111
826,548437,185111
827,548663,184875
828,548960,185092
829,548191,184721
830,548437,185111
831,548525,184709
832,548437,185111
833,548682,185175
834,548893,183868
835,548893,183868
836,548893,183868
837,548811,183902
838,548811,183902
839,548811,183902
840,548476,184334
841,548911,184416
842,548921,184488
843,548822,184623
844,548822,184623
845,548840,184524
846,548840,184524
847,548840,184524
848,549055,184668
849,548840,184524
850,548921,184488
851,548840,184524
852,548921,184488
853,548822,184623
854,548921,184488
855,548921,184488
856,549055,184668
857,549130,184153
858,549132,184256
859,549309,184022
860,549309,184022
861,549228,184142
862,549309,184022
863,549132,184256
864,549309,184022
865,549132,184256
866,549309,184022
867,549228,184142
868,549228,184142
869,549132,184256
870,549132,184256
871,549132,184256
872,549242,184461
873,549242,184461
874,549132,184256
875,549309,184022
876,548883,184286
877,549085,184129
878,549015,184170
879,548785,184484
880,549019,184023
881,549019,184023
882,549015,184170
883,548883,184286
884,548883,184286
885,548866,184158
886,548785,184484
887,548883,184286
888,548903,184073
889,550409,183997
890,550473,183935
891,550473,183935
892,550331,184218
893,550331,184218
894,550409,183997
895,550473,183935
896,550494,184211
897,550409,183997
898,550510,184262
899,550409,183997
900,550510,184262
901,550113,184582
902,550134,184502
903,550366,184506
904,550270,184630
905,550372,184299
906,550270,184630
907,550372,184299
908,550270,184630
909,550397,184390
910,550372,184299
911,550323,184460
912,550366,184506
913,550323,184460
914,550323,184460
915,550270,184630
916,550323,184460
917,550323,184460
918,550661,184366
919,550661,184366
920,550113,184582
921,550661,184366
922,550270,184630
923,549109,184626
924,549109,184626
925,549109,184626
926,549109,184626
927,549109,184626
928,549662,184449
929,549109,184626
930,549740,184783
931,549109,184626
932,549535,184699
933,549309,184613
934,549604,184740
935,549109,184626
936,549329,184246
937,549229,184560
938,549522,184559
939,549522,184559
940,549522,184559
941,549309,184613
942,549309,184613
943,549109,184626
944,549229,184560
945,549463,184404
946,549109,184626
947,549109,184626
948,549109,184626
949,549109,184626
950,549109,184626
951,549109,184626
952,549109,184626
953,549329,184246
954,549404,184415
955,549329,184246
956,549662,184449
957,549109,184626
958,549109,184626
959,549740,184783
960,549504,184460
961,549244,184560
962,549369,184222
963,549471,184626
964,549582,184447
965,549704,184590
966,550003,184664
967,549886,184440
968,550007,184516
969,549621,184648
970,549704,184590
971,549704,184590
972,549695,184452
973,549704,184590
974,549824,184811
975,549704,184590
976,549871,184603
977,549824,184811
978,549807,184723
979,550087,184390
980,549886,184440
981,549936,184655
982,544134,184281
983,544140,184258
984,544344,184479
985,544385,184409
986,544385,184409
987,544385,184409
988,544385,184409
989,544385,184409
990,543910,184496
991,543910,184496
992,544030,184292
993,544385,184409
994,544344,184479
995,544030,184292
996,544344,184479
997,543936,184342
998,544344,184479
999,544385,184409
1000,544344,184479
1001,544056,184284
1002,544134,184281
1003,544385,184409
1004,543910,184496
1005,544056,184284
1006,544382,184287
1007,544056,184284
1008,544385,184409
1009,544056,184284
1010,544382,184287
1011,544385,184409
1012,544030,184292
1013,543936,184342
1014,543910,184496
1015,544147,184505
1016,544385,184409
1017,544134,184281
1018,544030,184292
1019,544382,184287
1020,544382,184287
1021,544344,184479
1022,544382,184287
1023,544056,184284
1024,543936,184342
1025,543936,184342
1026,544030,184292
1027,543827,184114
1028,543827,184114
1029,543827,184114
1030,543827,184114
1031,543827,184114
1032,543830,184392
1033,543827,184114
1034,543827,184114
1035,543827,184114
1036,543827,184114
1037,543694,184612
1038,543632,184025
1039,543843,184550
1040,543830,184392
1041,544324,183880
1042,544358,184110
1043,544261,184317
1044,544358,184110
1045,544634,184103
1046,544358,184110
1047,544324,183880
1048,544301,183800
1049,544402,184268
1050,544435,183906
1051,544435,183906
1052,544402,184268
1053,544463,184068
1054,544402,184268
1055,544463,184068
1056,544634,184103
1057,544402,184268
1058,544317,184029
